uniqueID,Author,Unit,CO2_level,low_food_mean,low_food_N,low_food_SE,low_food_95CI,high_food_mean,high_food_N,CO2_magnitude,low_food_SD,high_food_SD,high_food_SE,high_food_95CI,author,year,taxon,taxon_big,co2_treatment_control_uatm,co2_treatment_elevated_uatm,deltaco2,deltaph,co_treatment_coarse,food_relative,food_relative_score
Pansch_elevated-1_Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Pansch,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),ambient,1.378947368,6.0,0.263157895,0.515789474,1.378947368,6.0,elevated-1,0.644602564,0.855085033,0.349087003,0.684210526,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,elevated-1,one fifth,1
Pansch_elevated-1_Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Pansch,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),elevated,1.021052632,6.0,0.26047261,0.510526316,1.021052632,6.0,elevated-1,0.638024987,0.414387362,0.169172932,0.331578947,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,elevated-1,one fifth,1
Pansch_elevated-2_Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Pansch,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),ambient,1.378947368,6.0,0.263157895,0.515789474,1.378947368,6.0,elevated-2,0.644602564,0.855085033,0.349087003,0.684210526,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,elevated-2,full,3
Pansch_elevated-2_Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Pansch,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),elevated,0.221052632,6.0,0.112781955,0.221052632,0.657894737,6.0,elevated-2,0.276258242,0.591981947,0.241675618,0.473684211,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,elevated-2,full,3
Ramajo_elevated-1_Calcification Rate (umol CaCO3  g-1  h-1 ),Ramajo,Calcification Rate (umol CaCO3  g-1  h-1 ),ambient,3.722628,3.0,2.408759,NaN,9.251825,3.0,elevated-1,4.172093,4.077273,2.354015,NaN,Ramajo,2016,Scallop,bivalve,405.0,1304.0,899.0,0.45,elevated-1,2 % food,1
Ramajo_elevated-1_Calcification Rate (umol CaCO3  g-1  h-1 ),Ramajo,Calcification Rate (umol CaCO3  g-1  h-1 ),elevated,7.773723,3.0,3.832117,NaN,17.90146,3.0,elevated-1,6.637421,8.154546,4.708029,NaN,Ramajo,2016,Scallop,bivalve,405.0,1304.0,899.0,0.45,elevated-1,2 % food,1
Thomsen_elevated-1_calcification per unit biomass: mg/mg*d,Thomsen,calcification per unit biomass: mg/mg*d,ambient,0.198586239,7.0,0.106786051,NaN,2.407822809,7.0,elevated-1,0.282529334,3.056204342,1.155136664,NaN,Thomsen,2013,Mussel,bivalve,380.0,1120.0,740.0,0.31,elevated-1,one tenth,1
Thomsen_elevated-1_calcification per unit biomass: mg/mg*d,Thomsen,calcification per unit biomass: mg/mg*d,elevated,0.299811499,7.0,0.097078222,NaN,1.85862394,7.0,elevated-1,0.256844833,3.313049191,1.252214892,NaN,Thomsen,2013,Mussel,bivalve,380.0,1120.0,740.0,0.31,elevated-1,one tenth,1
Thomsen_elevated-2_calcification per unit biomass: mg/mg*d,Thomsen,calcification per unit biomass: mg/mg*d,ambient,0.198586239,7.0,0.106786051,NaN,2.407822809,7.0,elevated-2,0.282529334,3.056204342,1.155136664,NaN,Thomsen,2013,Mussel,bivalve,380.0,2400.0,2020.0,0.61,elevated-2,one tenth,1
Thomsen_elevated-2_calcification per unit biomass: mg/mg*d,Thomsen,calcification per unit biomass: mg/mg*d,elevated,0.1275,7.0,0.071,NaN,1.843355325,7.0,elevated-2,0.187848343,2.362972613,0.893119698,NaN,Thomsen,2013,Mussel,bivalve,380.0,2400.0,2020.0,0.61,elevated-2,one tenth,1
Thomsen_elevated-3_calcification per unit biomass: mg/mg*d,Thomsen,calcification per unit biomass: mg/mg*d,ambient,0.198586239,7.0,0.106786051,NaN,2.407822809,7.0,elevated-3,0.282529334,3.056204342,1.155136664,NaN,Thomsen,2013,Mussel,bivalve,380.0,4e3,3620.0,0.82,elevated-3,one tenth,1
Thomsen_elevated-3_calcification per unit biomass: mg/mg*d,Thomsen,calcification per unit biomass: mg/mg*d,elevated,0.1033,7.0,0.0889,NaN,1.439773798,7.0,elevated-3,0.235207292,1.900651884,0.718378888,NaN,Thomsen,2013,Mussel,bivalve,380.0,4e3,3620.0,0.82,elevated-3,one tenth,1
