uniqueID,Author,Unit,CO2_level,low_food_mean,low_food_N,low_food_SE,low_food_95CI,high_food_mean,high_food_N,CO2_magnitude,low_food_SD,high_food_SD,high_food_SE,high_food_95CI,author,year,taxon,taxon_big,co2_treatment_control_uatm,co2_treatment_elevated_uatm,deltaco2,deltaph,co_treatment_coarse,food_relative,food_relative_score
Drenkard_elevated-1_tissue lipid weight per spat (ug/mm2),Drenkard,tissue lipid weight per spat (ug/mm2),ambient,10.34483,3.0,0.344828,NaN,13.27586,3.0,elevated-1,0.597259616,1.791777116,1.034483,NaN,Drenkard,2013,Coral,coral,398.0,1278.0,880.0,0.4,elevated-1,starvation,0
Drenkard_elevated-1_tissue lipid weight per spat (ug/mm2),Drenkard,tissue lipid weight per spat (ug/mm2),elevated,11.81034,3.0,2.5,NaN,12.67241,3.0,elevated-1,4.330127019,3.583554231,2.068966,NaN,Drenkard,2013,Coral,coral,398.0,1278.0,880.0,0.4,elevated-1,starvation,0
Edmunds_elevated-1_biomass (mg/cm2),Edmunds,biomass (mg/cm2),ambient,3.913043,10.0,0.56917,NaN,6.047431,10.0,elevated-1,1.799873576,2.174846974,0.687747,NaN,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,elevated-1,starvation,0
Edmunds_elevated-1_biomass (mg/cm2),Edmunds,biomass (mg/cm2),elevated,5.146245,10.0,0.142292,NaN,5.667984,10.0,elevated-1,0.449966813,4.199703956,1.328063,NaN,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,elevated-1,starvation,0
Hettinger_elevated-1_shell growth (mm),Hettinger,shell growth (mm),ambient,0.030982,5.0,0.004912,NaN,0.034772,5.0,elevated-1,0.010983566,0.002039294,9.12e-4,NaN,Hettinger,2013,oyster,bivalve,494.0,1065.0,571.0,0.3,elevated-1,natural,3
Hettinger_elevated-1_shell growth (mm),Hettinger,shell growth (mm),elevated,0.026702,5.0,0.002105,NaN,0.031684,5.0,elevated-1,0.004706923,0.004550398,0.002035,NaN,Hettinger,2013,oyster,bivalve,494.0,1065.0,571.0,0.3,elevated-1,natural,3
Hettinger_elevated-1_total dry weight (ug/larva),Hettinger,total dry weight (ug/larva),ambient,3.12294935,5.0,0.084724,NaN,4.210178034,5.0,elevated-1,0.19,0.19,0.08467,NaN,Hettinger,2013,oyster,bivalve,494.0,1065.0,571.0,0.3,elevated-1,natural,3
Hettinger_elevated-1_total dry weight (ug/larva),Hettinger,total dry weight (ug/larva),elevated,2.921063328,5.0,0.290366602,NaN,3.8993252,5.0,elevated-1,0.649279461,0.135282113,0.0605,NaN,Hettinger,2013,oyster,bivalve,494.0,1065.0,571.0,0.3,elevated-1,natural,3
Melzner_elevated-1_length growth,Melzner,length growth,ambient,1.2,4.0,0.15,NaN,2.6,4.0,elevated-1,0.3,1.2,0.6,NaN,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,elevated-1,low no filter,1
Melzner_elevated-1_length growth,Melzner,length growth,elevated,1.5,4.0,0.2,NaN,3.0,4.0,elevated-1,0.4,0.8,0.4,NaN,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,elevated-1,low no filter,1
Melzner_elevated-1_somatic mass growth (mg dry mass),Melzner,somatic mass growth (mg dry mass),ambient,5.0,4.0,3.05,NaN,34.7,4.0,elevated-1,6.1,27.2,13.6,NaN,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,elevated-1,low no filter,1
Melzner_elevated-1_somatic mass growth (mg dry mass),Melzner,somatic mass growth (mg dry mass),elevated,7.0,4.0,4.7,NaN,40.7,4.0,elevated-1,9.4,30.5,15.25,NaN,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,elevated-1,low no filter,1
Melzner_elevated-2_length growth,Melzner,length growth,ambient,1.2,4.0,0.15,NaN,2.6,4.0,elevated-2,0.3,1.2,0.6,NaN,Melzner,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,elevated-2,low no filter,1
Melzner_elevated-2_length growth,Melzner,length growth,elevated,1.1,4.0,0.15,NaN,2.5,4.0,elevated-2,0.3,0.4,0.2,NaN,Melzner,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,elevated-2,low no filter,1
Melzner_elevated-2_somatic mass growth (mg dry mass),Melzner,somatic mass growth (mg dry mass),ambient,5.0,4.0,3.05,NaN,34.7,4.0,elevated-2,6.1,27.2,13.6,NaN,Melzner,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,elevated-2,low no filter,1
Melzner_elevated-2_somatic mass growth (mg dry mass),Melzner,somatic mass growth (mg dry mass),elevated,17.4,4.0,8.05,NaN,29.8,4.0,elevated-2,16.1,14.8,7.4,NaN,Melzner,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,elevated-2,low no filter,1
Melzner_elevated-3_length growth,Melzner,length growth,ambient,1.2,4.0,0.15,NaN,2.6,4.0,elevated-3,0.3,1.2,0.6,NaN,Melzner,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,elevated-3,low no filter,1
Melzner_elevated-3_length growth,Melzner,length growth,elevated,0.6,4.0,0.1,NaN,1.8,4.0,elevated-3,0.2,0.5,0.25,NaN,Melzner,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,elevated-3,low no filter,1
Melzner_elevated-3_somatic mass growth (mg dry mass),Melzner,somatic mass growth (mg dry mass),ambient,5.0,4.0,3.05,NaN,34.7,4.0,elevated-3,6.1,27.2,13.6,NaN,Melzner,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,elevated-3,low no filter,1
Melzner_elevated-3_somatic mass growth (mg dry mass),Melzner,somatic mass growth (mg dry mass),elevated,8.5,4.0,8.6,NaN,36.5,4.0,elevated-3,17.2,12.1,6.05,NaN,Melzner,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,elevated-3,low no filter,1
Pan_elevated-1_body length (um),Pan,body length (um),ambient,240.41,50.0,11.58,NaN,336.98166,50.0,elevated-1,81.91,81.91,11.58,NaN,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,elevated-1,starvation,0
Pan_elevated-1_body length (um),Pan,body length (um),elevated,237.297,50.0,11.58,NaN,339.27267,50.0,elevated-1,81.907714,81.907714,11.58,NaN,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,elevated-1,starvation,0
Pansch_elevated-1_dry weight - Kiel (mg),Pansch,dry weight - Kiel (mg),ambient,0.062614652,8.0,0.004302887,0.008433658,0.233831708,8.0,elevated-1,0.012170402,0.104320351,0.036882814,0.072290315,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,elevated-1,one fifth,1
Pansch_elevated-1_dry weight - Kiel (mg),Pansch,dry weight - Kiel (mg),elevated,0.066261737,8.0,0.005840558,0.011447494,0.253144931,8.0,elevated-1,0.016519593,0.030426005,0.010757217,0.021084146,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,elevated-1,one fifth,1
Pansch_elevated-1_dry weight - Tjarno (mg),Pansch,dry weight - Tjarno (mg),ambient,0.016342,6.0,0.003182143,0.006237,0.048478,6.0,elevated-1,0.007794626,0.016249115,0.006633673,0.013002,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,elevated-1,full,3
Pansch_elevated-1_dry weight - Tjarno (mg),Pansch,dry weight - Tjarno (mg),elevated,0.019937,6.0,0.004153061,0.00814,0.051015,6.0,elevated-1,0.010172881,0.009511769,0.003883163,0.007611,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,elevated-1,full,3
Pansch_elevated-1_size- Kiel (mm),Pansch,size- Kiel (mm),ambient,8.372093,8.0,0.213573802,0.418604651,12.85714286,8.0,elevated-1,0.604077933,1.294452715,0.457658146,0.897009967,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,elevated-1,one fifth,1
Pansch_elevated-1_size- Kiel (mm),Pansch,size- Kiel (mm),elevated,8.491694,8.0,0.274594898,0.538206,12.79734,8.0,elevated-1,0.776671658,0.86296899,0.305105612,0.598007,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,elevated-1,one fifth,1
Pansch_elevated-1_size- Tjarno(mm),Pansch,size- Tjarno(mm),ambient,2.976744186,6.0,0.230524104,0.451827243,3.641196013,6.0,elevated-1,0.564666427,0.365372394,0.149162655,0.29235880400000003,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,elevated-1,full,3
Pansch_elevated-1_size- Tjarno(mm),Pansch,size- Tjarno(mm),elevated,2.897009967,6.0,0.284765069,0.558139535,3.800664452,6.0,elevated-1,0.697529115,0.431803738,0.176283138,0.34551495,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,elevated-1,full,3
Pansch_elevated-2_dry weight - Tjarno (mg),Pansch,dry weight - Tjarno (mg),ambient,0.016342,6.0,0.003182143,0.006237,0.048478,6.0,elevated-2,0.007794626,0.016249115,0.006633673,0.013002,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,elevated-2,full,3
Pansch_elevated-2_dry weight - Tjarno (mg),Pansch,dry weight - Tjarno (mg),elevated,0.013277,6.0,0.00377551,0.0074,0.044249,6.0,elevated-2,0.009248074,0.008850656,0.003613265,0.007082,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,elevated-2,full,3
Pansch_elevated-2_size- Tjarno(mm),Pansch,size- Tjarno(mm),ambient,2.976744186,6.0,0.230524104,0.451827243,3.641196013,6.0,elevated-2,0.564666427,0.365372394,0.149162655,0.29235880400000003,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,elevated-2,full,3
Pansch_elevated-2_size- Tjarno(mm),Pansch,size- Tjarno(mm),elevated,2.976744186,6.0,0.433927724,0.850498339,3.61461794,6.0,elevated-2,1.062901509,0.564666427,0.230524104,0.451827243,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,elevated-2,full,3
Pansch_elevated-3_dry weight - Kiel (mg),Pansch,dry weight - Kiel (mg),ambient,0.062614652,8.0,0.004302887,0.008433658,0.233831708,8.0,elevated-3,0.012170402,0.104320351,0.036882814,0.072290315,Pansch,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,elevated-3,one fifth,1
Pansch_elevated-3_dry weight - Kiel (mg),Pansch,dry weight - Kiel (mg),elevated,0.063886596,8.0,0.00676168,0.013252892,0.239926514,8.0,elevated-3,0.019124918,0.046942979,0.016596849,0.032529825,Pansch,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,elevated-3,one fifth,1
Pansch_elevated-3_size- Kiel (mm),Pansch,size- Kiel (mm),ambient,8.372093,8.0,0.213573802,0.418604651,12.85714286,8.0,elevated-3,0.604077933,1.294452715,0.457658146,0.897009967,Pansch,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,elevated-3,one fifth,1
Pansch_elevated-3_size- Kiel (mm),Pansch,size- Kiel (mm),elevated,8.431894,8.0,0.183063259,0.358803987,12.91694352,8.0,elevated-3,0.517781086,1.035562171,0.366126517,0.717607973,Pansch,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,elevated-3,one fifth,1
Ramajo_elevated-1_growth (mm d-1),Ramajo,growth (mm d-1),ambient,0.009295,3.0,0.002306,NaN,0.016055,3.0,elevated-1,0.003994109,0.005684591,0.003282,NaN,Ramajo,2016,Scallop,bivalve,405.0,1304.0,899.0,0.45,elevated-1,one/50,1
Ramajo_elevated-1_growth (mm d-1),Ramajo,growth (mm d-1),elevated,0.016656,3.0,0.00408,NaN,0.03335,3.0,elevated-1,0.007066767,0.005991164,0.003459,NaN,Ramajo,2016,Scallop,bivalve,405.0,1304.0,899.0,0.45,elevated-1,one/50,1
Taylor_elevated-1_% Change width 140 days,Taylor,% Change width 140 days,ambient,-7.73504,15.0,5.128205,NaN,4.230769,15.0,elevated-1,19.86145256,4.965362172,1.282051,NaN,Taylor,2014,urchin,echinoderm,585.1,1144.9,559.8,0.3,elevated-1,Fed,3
Taylor_elevated-1_% Change width 140 days,Taylor,% Change width 140 days,elevated,-0.89744,15.0,0.42735,NaN,6.153846,15.0,elevated-1,1.655119433,9.103164627,2.350427,NaN,Taylor,2014,urchin,echinoderm,585.1,1144.9,559.8,0.3,elevated-1,Fed,3
Taylor_elevated-2_% Change width 140 days,Taylor,% Change width 140 days,ambient,-7.73504,15.0,5.128205,NaN,4.230769,15.0,elevated-2,19.86145256,4.965362172,1.282051,NaN,Taylor,2014,urchin,echinoderm,585.1,3191.8,2606.7,0.7,elevated-2,Fed,3
Taylor_elevated-2_% Change width 140 days,Taylor,% Change width 140 days,elevated,-2.82051,15.0,0.854701,NaN,0.598291,15.0,elevated-2,3.310242739,4.137802455,1.068376,NaN,Taylor,2014,urchin,echinoderm,585.1,3191.8,2606.7,0.7,elevated-2,Fed,3
Thomsen_elevated-1_organic mass (mg),Thomsen,organic mass (mg),ambient,0.062676,7.0,3.78e-5,NaN,0.708953817,7.0,elevated-1,1e-4,0.271819,0.102737925,NaN,Thomsen,2013,Mussel,bivalve,380.0,1120.0,740.0,0.31,elevated-1,one tenth,1
Thomsen_elevated-1_organic mass (mg),Thomsen,organic mass (mg),elevated,0.105749293,7.0,3.78e-5,NaN,0.557775,7.0,elevated-1,1e-4,0.291234677,0.110076361,NaN,Thomsen,2013,Mussel,bivalve,380.0,1120.0,740.0,0.31,elevated-1,one tenth,1
Thomsen_elevated-1_shell length (um),Thomsen,shell length (um),ambient,1422.22,7.0,134.3852684,NaN,3875.0,7.0,elevated-1,355.55,664.0,250.9684101,NaN,Thomsen,2013,Mussel,bivalve,380.0,1120.0,740.0,0.31,elevated-1,one tenth,1
Thomsen_elevated-1_shell length (um),Thomsen,shell length (um),elevated,1806.0,7.0,142.4926063,NaN,3342.0,7.0,elevated-1,377.0,569.2,215.137378,NaN,Thomsen,2013,Mussel,bivalve,380.0,1120.0,740.0,0.31,elevated-1,one tenth,1
Thomsen_elevated-2_organic mass (mg),Thomsen,organic mass (mg),ambient,0.062676,7.0,3.78e-5,NaN,0.708953817,7.0,elevated-2,1e-4,0.271819,0.102737925,NaN,Thomsen,2013,Mussel,bivalve,380.0,2400.0,2020.0,0.61,elevated-2,one tenth,1
Thomsen_elevated-2_organic mass (mg),Thomsen,organic mass (mg),elevated,0.090386428,7.0,3.78e-5,NaN,0.639679548,7.0,elevated-2,1e-4,0.349481621,0.132091637,NaN,Thomsen,2013,Mussel,bivalve,380.0,2400.0,2020.0,0.61,elevated-2,one tenth,1
Thomsen_elevated-2_shell length (um),Thomsen,shell length (um),ambient,1422.22,7.0,134.3852684,NaN,3875.0,7.0,elevated-2,355.55,664.0,250.9684101,NaN,Thomsen,2013,Mussel,bivalve,380.0,2400.0,2020.0,0.61,elevated-2,one tenth,1
Thomsen_elevated-2_shell length (um),Thomsen,shell length (um),elevated,1464.8,7.0,99.55584219,NaN,3471.4,7.0,elevated-2,263.4,630.9,238.457786,NaN,Thomsen,2013,Mussel,bivalve,380.0,2400.0,2020.0,0.61,elevated-2,one tenth,1
Thomsen_elevated-3_organic mass (mg),Thomsen,organic mass (mg),ambient,0.062676,7.0,3.78e-5,NaN,0.708953817,7.0,elevated-3,1e-4,0.271819,0.102737925,NaN,Thomsen,2013,Mussel,bivalve,380.0,4e3,3620.0,0.82,elevated-3,one tenth,1
Thomsen_elevated-3_organic mass (mg),Thomsen,organic mass (mg),elevated,0.09462771,7.0,3.78e-5,NaN,0.585579642,7.0,elevated-3,1e-4,0.262111216,0.099068728,NaN,Thomsen,2013,Mussel,bivalve,380.0,4e3,3620.0,0.82,elevated-3,one tenth,1
Thomsen_elevated-3_shell length (um),Thomsen,shell length (um),ambient,1422.22,7.0,134.3852684,NaN,3875.0,7.0,elevated-3,355.55,664.0,250.9684101,NaN,Thomsen,2013,Mussel,bivalve,380.0,4e3,3620.0,0.82,elevated-3,one tenth,1
Thomsen_elevated-3_shell length (um),Thomsen,shell length (um),elevated,1300.6,7.0,28.23394613,NaN,3379.5,7.0,elevated-3,74.7,677.5,256.0709305,NaN,Thomsen,2013,Mussel,bivalve,380.0,4e3,3620.0,0.82,elevated-3,one tenth,1
Towle_elevated-1_growth (mg cm-2 d-1),Towle,growth (mg cm-2 d-1),ambient,1.380822,10.0,0.086301,NaN,1.300913,10.0,elevated-1,0.272907724,0.313340607,0.099087,NaN,Towle,2015,Coral,coral,380.0,789.0,409.0,0.26,elevated-1,starvation,0
Towle_elevated-1_growth (mg cm-2 d-1),Towle,growth (mg cm-2 d-1),elevated,1.006849,10.0,0.09589,NaN,1.32968,10.0,elevated-1,0.303230805,0.283017526,0.089498,NaN,Towle,2015,Coral,coral,380.0,789.0,409.0,0.26,elevated-1,starvation,0
