Data_entry_person,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Food.supply,Food.relative,Food.relative score,Mean_Ambient,SE_Ambient,SD_Ambient,95CI_Ambient,N_Ambient,Mean_Elevated,SE_Elevated,SD_Elevated,95CI_Elevated,N_Elevated,Notes,,,,,
Norah,18,12,5,Crook,2013,coral,coral,410,770,360,0.24,volume (mm3),High,plentiful,3,81.03448,9.051724,43.4105433,,23,78.87931,7.758621,37.20903917,,23,Crook data with N= individuals not jars,,,,,
Norah,19,11,5,Crook,2013,coral,coral,410,1220,810,0.43,volume (mm3),Low,low maintenance,1,8.62069,1.293103,7.540021388,,34,8.189655,1.293103,6.963572768,,29,Crook data with N= individuals not jars,,,,,
Norah,20,12,5,Crook,2013,coral,coral,410,1220,810,0.43,volume (mm3),High,plentiful,3,81.03448,9.051724,43.4105433,,23,84.91379,5.603448,26.28250081,,22,Crook data with N= individuals not jars,,,,,
Norah,21,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),Low,starvation,0,5.1796,0.8204,2.594332592,,10,5.098,0.487,1.540029221,,10,Edmunds data with N= individuals not tanks,,,,,Used high temp as control as in paper
Norah,22,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),High,ad libitum,4,6.951,0.439,1.388239893,,10,7.561,0.869,2.748019287,,10,Edmunds data with N= individuals not tanks,,,,,
Norah,23,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),Low,starvation,0,3.992958,0.492958,1.207495565,,6,4.190141,0.788732,1.931990944,,6,"They did have starvation, low, and high but Ramajo only used starvation and high food .... used high light ",,,,,
Norah,25,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),High,ad libitum,4,8.774648,0.985915,2.41498868,,6,9.56338,2.267606,5.554477638,,6,"They did have starvation, low, and high but Ramajo only used starvation and high food .... used high light ",,,,,
Kat,28,18,8,Pansch,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,size- Kiel (mm),Low,one fifth,1,8.372093,0.2135738015,0.6040779334,0.418604651,8,8.431894,0.1830632587,0.5177810864,0.358803987,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,29,19,8,Pansch,2014,Barnacle,crustacean,499,2750,2251,0.91,size- Kiel (mm),High,full,3,12.85714286,0.4576581464,1.294452715,0.897009967,8,12.91694352,0.3661265168,1.035562171,0.717607973,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,26,18,8,Pansch,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,size- Kiel (mm),Low,one fifth,1,8.372093,0.2135738015,0.6040779334,0.418604651,8,8.491694,0.274594898,0.7766716577,0.538206,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,27,19,8,Pansch,2014,Barnacle,crustacean,499,981.5,482.5,0.37,size- Kiel (mm),High,full,3,12.85714286,0.4576581464,1.294452715,0.897009967,8,12.79734,0.3051056122,0.8629689896,0.598007,8,N vs n not clear? first of two populations,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,32,20,8,Pansch,2014,Barnacle,crustacean,526.4,3255.9,2729.5,0.8,size- Tjarno(mm),Low,one fifth,1,2.976744186,0.2305241036,0.5646664272,0.451827243,6,2.976744186,0.433927724,1.062901509,0.850498339,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,33,21,8,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,size- Tjarno(mm),High,full,3,3.641196013,0.1491626551,0.3653723937,0.292358804,6,3.61461794,0.2305241036,0.5646664272,0.451827243,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,30,20,8,Pansch,2014,Barnacle,crustacean,526.4,1141.7,615.3,0.33,size- Tjarno(mm),Low,one fifth,1,2.976744186,0.2305241036,0.5646664272,0.451827243,6,2.897009967,0.2847650689,0.6975291153,0.558139535,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,31,21,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,size- Tjarno(mm),High,full,3,3.641196013,0.1491626551,0.3653723937,0.292358804,6,3.800664452,0.1762831378,0.4318037378,0.34551495,6,N vs n not clear? 2nd of two populations,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,34,22,9,Ramajo,2016,Scallop,bivalve,405,1304,899,0.45,growth (mm d-1),Low,one/50,1,0.009295,0.002306,0.003994109162,,3,0.016656,0.00408,0.007066767295,,3,,,,,,
Kat,35,23,9,Ramajo,2016,Scallop,bivalve,459,1426,967,0.45,growth (mm d-1),Med,two fifths,2,0.020081,0.002218,0.003841688691,,3,0.023628,0.002483,0.004300682155,,3,,,,,,
Kat,36,24,9,Ramajo,2016,Scallop,bivalve,552,1519,967,0.45,growth (mm d-1),High,full,3,0.016055,0.003282,0.00568459075,,3,0.03335,0.003459,0.005991163743,,3,,,,,,
Kat,37,25,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),Low,starvation,0,1.380822,0.086301,0.2729077244,,10,1.006849,0.09589,0.3032308048,,10,,,,,,
Kat,38,26,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),High,ad libitum,4,1.300913,0.099087,0.3133406065,,10,1.32968,0.089498,0.283017526,,10,,,,,,
Norah,39,27,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,septa diameter (um),Low,starvation,0,1385.96,26.32,45.58757726,,3,1322,42.39,73.42163373,,3,,,,,,
Norah,40,28,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,septa diameter (um),High,fed,3,2132,60.03,103.97501,,3,2062,44.19,76.53932519,,3,,,,,,
Norah,41,29,12,Melzner,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,length growth,Low,low no filter,1,1.2,0.15,0.3,,4,1.5,0.2,0.4,,4,,,,,,
Norah,42,30,12,Melzner,2011,Mussel,bivalve,523.1,1174.4,651.3,0.32,length growth,High,natural,2,2.6,0.6,1.2,,4,3,0.4,0.8,,4,,,,,,
Norah,43,29,12,Melzner,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,length growth,Low,low no filter,1,1.2,0.15,0.3,,4,1.1,0.15,0.3,,4,,,,,,
Norah,44,30,12,Melzner,2011,Mussel,bivalve,523.1,2585.7,2062.6,0.62,length growth,High,natural,2,2.6,0.6,1.2,,4,2.5,0.2,0.4,,4,,,,,,
Norah,45,29,12,Melzner,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,length growth,Low,low no filter,1,1.2,0.15,0.3,,4,0.6,0.1,0.2,,4,,,,,,
Norah,46,30,12,Melzner,2011,Mussel,bivalve,523.1,3908.2,3385.1,0.86,length growth,High,natural,2,2.6,0.6,1.2,,4,1.8,0.25,0.5,,4,,,,,,
Norah,47,31,13,Oddvarsdotter,2014,Copepod,crustacean,485.88,2292.94,1807.06,0.63,Carbon content per larva (ug C per individual),Low,low,1,0.4367,0.0834,0.1444530374,,3,0.464,0.075,0.1299038106,,3,,,,,,
Norah,48,32,13,Oddvarsdotter,2014,Copepod,crustacean,484.69,2516.39,2031.7,0.67,Carbon content per larva (ug C per individual),High,high,2,1.039,0.076,0.1316358614,,3,0.947,0.061,0.1056550993,,3,,,,,,
